Input URI,Classified Exercise,Distance,Processing Time
gs://strengthlog-videos/user_videos_embeddings/75136f89-7e92-43f8-8953-6b4928d0665b.mov.json,dumbbell-deadlift,0.74,0.52
gs://strengthlog-videos/user_videos_embeddings/757d9715-42ce-4361-bc94-33ec4908950a.json,barbell-walking-lunges,0.72,0.48
gs://strengthlog-videos/user_videos_embeddings/78dc3c50-d2a4-44bb-b293-d400bd1b2993.json,reverse-machine-fly,0.73,0.39
gs://strengthlog-videos/user_videos_embeddings/7fa67327-41f7-49c9-899f-563dbe7ff846.json,pendlay-row,0.75,0.39
gs://strengthlog-videos/user_videos_embeddings/7fd20535-de09-4c7c-89a4-a18b75fb792c.json,resistance-band-chest-fly,0.75,0.36
gs://strengthlog-videos/user_videos_embeddings/81e2aa0f-7dd9-4306-91e1-dd08671a62c0.mov.json,bulgarian-split-squat,0.72,0.36
gs://strengthlog-videos/user_videos_embeddings/823be015-a225-4902-9b72-aa96e7363e1e.json,cable-wide-grip-seated-row,0.76,0.43
gs://strengthlog-videos/user_videos_embeddings/86771e2a-3a88-4e03-b0f6-3100f15224c9.mov.json,leg-press,0.79,0.55
gs://strengthlog-videos/user_videos_embeddings/89a3b4de-3e9f-44f4-92c1-ebca63296d19.mov.json,barbell-walking-lunges,0.72,0.36
gs://strengthlog-videos/user_videos_embeddings/8a37e924-1a30-48f4-b7ae-c10f4b3e56f5.json,bar-dip,1.0,0.42
gs://strengthlog-videos/user_videos_embeddings/8b757a8c-16aa-43a2-8e81-357be3544493.json,leg-press,0.8,0.45
gs://strengthlog-videos/user_videos_embeddings/90404486-0693-4ef6-8866-cb829efb1d48.json,clean,0.69,0.42
gs://strengthlog-videos/user_videos_embeddings/90915307-b203-4228-9da9-1c1f3fd8d58a.json,pause-squat,0.73,0.39
gs://strengthlog-videos/user_videos_embeddings/90fcc5ff-cfb7-4eac-adf0-b69a5df6e2cf.json,hip-adduction-machine,0.67,0.39
gs://strengthlog-videos/user_videos_embeddings/92cc0f19-6ded-4f26-a19e-f9b48ecdad61.mov.json,lying-leg-curl,0.78,0.4
gs://strengthlog-videos/user_videos_embeddings/94c12604-5510-4b72-b16b-115d8014053b.mov.json,hip-thrust,0.73,0.42
gs://strengthlog-videos/user_videos_embeddings/94dac647-229d-486c-a341-df971d4896f4.json,pendlay-row,0.79,0.42
gs://strengthlog-videos/user_videos_embeddings/950e36d3-5511-48cf-af78-28236cdf4ee3.mov.json,dumbbell-decline-chest-press,0.76,0.43
gs://strengthlog-videos/user_videos_embeddings/99677c10-ebdc-4bd3-80a4-c49695f94010.json,smith-machine-bench-press,0.78,0.47
gs://strengthlog-videos/user_videos_embeddings/9ad414d5-7f01-42fa-adeb-0361e411ba2a.json,close-grip-push-up,0.74,0.36
gs://strengthlog-videos/user_videos_embeddings/9b11a4fd-6877-48ce-aae9-07b9e79cd8c9.mov.json,dumbbell-deadlift,0.71,0.44
gs://strengthlog-videos/user_videos_embeddings/9b11dc77-da42-4a37-a0f7-349f1dddf8e0.mov.json,machine-glute-kickbacks,0.72,0.42
gs://strengthlog-videos/user_videos_embeddings/9ba68a11-854d-49b7-862d-b55f4104da70.json,smith-machine-bench-press,0.73,0.42
gs://strengthlog-videos/user_videos_embeddings/9eb1cdf8-132d-4cc5-85e4-a6cdc7392f39.json,barbell-walking-lunges,0.74,0.36
gs://strengthlog-videos/user_videos_embeddings/9f1e5c2b-39d4-4fbf-8b88-8fcc1aba04e7.mov.json,resistance-band-chest-fly,0.78,0.4
gs://strengthlog-videos/user_videos_embeddings/IMG_3622 (1).mov.json,hip-thrust,0.71,0.55
gs://strengthlog-videos/user_videos_embeddings/PXL_20240727_094244537.TS.json,pendlay-row,0.75,0.35
gs://strengthlog-videos/user_videos_embeddings/a1b71675-0922-407e-8b98-e4e495afd71d.mov.json,bench-press-against-band,0.72,0.49
gs://strengthlog-videos/user_videos_embeddings/a294f23a-ab21-48b2-8fd5-64777d02db45.mov.json,dumbbell-decline-chest-press,0.72,0.44
gs://strengthlog-videos/user_videos_embeddings/a51d0947-f158-4604-b13c-4aafdd4eced7.json,push-up,1.0,0.45
gs://strengthlog-videos/user_videos_embeddings/a7bce8fb-b125-4ad3-9717-d9bc9d9896d0.mov.json,reverse-hyperextension,0.74,0.68
gs://strengthlog-videos/user_videos_embeddings/a7da1b71-8b25-40ee-8c59-808b5adcd249.mov.json,dumbbell-deadlift,0.76,0.41
gs://strengthlog-videos/user_videos_embeddings/ab2f11f2-9033-45b7-829a-9ea6d40819ff.json,monkey-row,0.75,0.4
gs://strengthlog-videos/user_videos_embeddings/abe39bf0-57d1-4964-b6b9-d37245b337ff.mov.json,power-jerk,0.69,0.43
gs://strengthlog-videos/user_videos_embeddings/abf914d5-ff13-41ad-bcbc-80b09545d381.json,pendlay-row,0.76,0.36
gs://strengthlog-videos/user_videos_embeddings/ac195e96-2626-46bb-8f2c-350c21b406f2.mov.json,leg-extension,0.76,0.42
gs://strengthlog-videos/user_videos_embeddings/ade1e0fb-c9ef-4ab9-8076-6b7dba1bfef4.json,pause-squat,0.8,0.4
gs://strengthlog-videos/user_videos_embeddings/adfc84a7-6f74-4891-b16d-7655b764620d.json,monkey-row,0.75,0.42
gs://strengthlog-videos/user_videos_embeddings/alpha_02a53d8d-bc4d-4e5f-ac2e-7fcda10f2963_6db28796-d470-4ed4-b1bf-22340e3e5e10.json,pause-squat,0.76,0.43
gs://strengthlog-videos/user_videos_embeddings/b2e56c24-bbb6-4387-94f6-403a8e02cefa.mov.json,leg-press,0.78,0.4
gs://strengthlog-videos/user_videos_embeddings/b35bb9f2-70a5-4679-9aa7-3449331701cc.mov.json,seated-smith-machine-shoulder-press,0.66,0.46
